PubmedID,Title,Publication Date,Authors,Company
40037139,Longitudinal humoral immunity against SARS-CoV-2 Spike following infection in individuals from Cameroon.,2025 Feb 25,"Benlarbi M, Kenfack DD, Dionne K, Côté-Chenette M, Beaudoin-Bussières G, Bélanger É, Ding S, Goni OH, Ngoume YF, Tauzin A, Medjahed H, Ghedin E, Duerr R, Finzi A, Tongo M",Virology
40034846,Coronavirus replicase epitopes induce cross-reactive CD8 T cell responses in SARS-CoV-2-naive people with HIV-1.,2025 Mar 21,"Schmidt KG, Geißler P, Schuster EM, Schülein C, Harrer EG, Schönau V, Luber M, Spriewald B, Steininger P, Bergmann S, Ensser A, Schober K, Nganou-Makamdop K, Harrer T",iScience
40028434,Discharge Against Medical Advice From the Emergency Department: Results From a Private Hospital in Beirut.,2025 Feb,"Abou Khater D, Kalaji J, Tanios A, Ghosn C, Fakhoury R, Helou M",Cureus
40021342,Subunit antigen delivery: emulsion and liposomal adjuvants for next-generation vaccines.,2025 Feb 28,"Khalifa AZ, Perrie Y, Shahiwala A",Expert Opin Drug Deliv
40013036,Effectiveness of a short-term oxygen therapy training program in Liberia during and after COVID-19.,2025,"Luke MB, Ziah M 2nd, Lu LZN, Davis MD, Arzoaquoi S, Drucker E, Kanneh F, Logan GG, Massaquoi M",Front Public Health
40008154,Duration of antibiotic treatment for respiratory tract infections in primary care.,2025 Feb,"Llor C, Hansen MP, Lykkegaard J, Olsen J, Lindberg BH, Rebnord IK, Touboul Lundgren P, Bruno P, Kowalczyk A, Lionis C, Radzeviciene R, Jaruseviciene L, Bjerrum L, García-Sangenís A, HAPPY PATIENT Study Group",JAC Antimicrob Resist
40006737,Molecular Farming for Immunization: Current Advances and Future Prospects in Plant-Produced Vaccines.,2025 Feb 15,"Vo DK, Trinh KTL",Vaccines (Basel)
40006733,Cost-Effectiveness of Introducing Nuvaxovid to COVID-19 Vaccination in the United Kingdom: A Dynamic Transmission Model.,2025 Feb 14,"Pritchard C, Kutikova L, Pitman R, Lai KZH, Beyhaghi H, Gibbons I, Erbe A, Živković-Gojović M, Cosgrove C, Sculpher M, Salisbury D",Vaccines (Basel)
39968478,"The Prevalence and Clinical Features of Co-Infection with SARS-CoV-2 and Influenza Virus during the COVID-19 Pandemic in Semnan, Iran.",2024,"Tarahomi M, Shokri Koohikheyli MS, Pooya P, Eslami M, Vakili M, Habibian F, Naderian R, Zolfaghari M, Ghaffari H",Med J Islam Repub Iran
39959943,Cardiac Baroreflex Is Preserved After the Recovery From COVID-19 Men and Women.,2025 Feb,"Souza R, Divino B, Rocha HNM, Lugon JR, Rocha NG, Nobrega ACL, Prodel E",J Clin Hypertens (Greenwich)
39957693,Groundbreaking mRNA Lung Cancer Vaccine Trials: A New Dawn in Cancer Treatment.,2025 Feb 14,"Hussain MS, Sultana A, Bisht AS, Gupta G",Curr Cancer Drug Targets
33355732,COVID-19 Vaccines.,2006,,
39948424,Intratumoral administration of mRNA COVID-19 vaccine delays melanoma growth in mice.,2025 Feb 13,"Boehm DT, Landreth KM, Kilic ES, Lee KS, Misra B, Bobbala S, Damron FH, Liu TW",Sci Rep
39937842,Starve a cold or feed a fever? Identifying cellular metabolic changes following infection and exposure to SARS-CoV-2.,2025,"Loveday EK, Welhaven H, Erdogan AE, Hain KS, Domanico LF, Chang CB, June RK, Taylor MP",PLoS One
39921626,"Short-term effects of ambient air pollution on influenza incidence in Chongqing, China: a time-series analysis.",2025 Feb 8,"Wang X, Xing D, Zhou X, An Y, Gao B, Lu J, Zhang Y",Int J Environ Health Res
39916444,Water remediation with a dielectric-free portable triple-electrode cold plasma discharge system.,2024,"Sutjitjoon P, Nupangtha W, Saidarasamoot K, Locharoenrat K, Lekchaum S",J Environ Sci Health A Tox Hazard Subst Environ Eng
39904481,Inactivation of porcine epidemic diarrhea virus as a SARS-CoV-2 surrogate at sub-zero temperatures by isochoric freezing.,2025 Mar,"Lyu C, Liang X, Jiang J, Wang F, An R, Yang J, Wang D",Cryobiology
39896217,"The JN.1 variant of COVID-19: immune evasion, transmissibility, and implications for global health.",2025 Jan-Dec,"Naveed Siddiqui A, Musharaf I, Gulumbe BH",Ther Adv Infect Dis
39889684,"Supplementation with heat-sterilized Lactobacillus crispatus strain KT-11 stimulates the T cell-related immune function of healthy Japanese adults: A pilot randomized, placebo-controlled, double-blind, parallel-group study.",2025 Feb,"Watanabe I, Suzuki N, Takara T",Nutr Res
39888240,Small fiber neuropathy in the post-COVID condition and Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: Clinical significance and diagnostic challenges.,2025 Feb,"Azcue N, Teijeira-Portas S, Tijero-Merino B, Acera M, Fernández-Valle T, Ayala U, Barrenechea M, Murueta-Goyena A, Lafuente JV, de Munain AL, Ruiz-Irastorza G, Martín-Iglesias D, Gabilondo I, Gómez-Esteban JC, Del Pino R",Eur J Neurol
39875036,Formulation screening of lyophilized mRNA-lipid nanoparticles.,2025 Feb 25,"Ruppl A, Kiesewetter D, Köll-Weber M, Lemazurier T, Süss R, Allmendinger A",Int J Pharm
39862211,"Human Metapneumovirus: an emerging respiratory pathogen and the urgent need for improved Diagnostics, surveillance, and vaccine development.",2025 Mar,"Akingbola A, Adegbesan A, TundeAlao S, Adewole O, Ayikoru C, Benson AE, Shekoni M, Chuku J",Infect Dis (Lond)
39861664,Evaluation of Biologics ACE2/Ang(1-7) Encapsulated in Plant Cells for FDA Approval: Safety and Toxicology Studies.,2024 Dec 25,"Daniell H, Wakade G, Nair SK, Singh R, Emanuel SA, Brock B, Margulies KB",Pharmaceutics
39852865,The Long-Term Immunity of a Microneedle Array Patch of a SARS-CoV-2 S1 Protein Subunit Vaccine Irradiated by Gamma Rays in Mice.,2025 Jan 18,"Kim E, Khan MS, Shin J, Huang S, Ferrari A, Han D, An E, Kenniston TW, Cassaniti I, Baldanti F, Jeong D, Gambotto A",Vaccines (Basel)
39850714,Acrocyanosis: The Least Known Acrosyndrome Revisited With a Dermatologic Perspective.,2025,"Demircioğlu D, Öztürk Durmaz E",Dermatol Res Pract
39848815,Endemic coronavirus in children and adults with acute respiratory infection before the COVID-19 pandemic.,2025 Jan 22,"Jara R, Santos D, Reyes NS, Hermida E, Seoane A, Ypas M, Andres G, Echavarría M",Rev Argent Microbiol
