PubmedID,Title,Publication Date,Authors,Company
40054616,"Associations of various medical nutrition therapy strategies with body composition, and physical and clinical outcomes in acute myeloid leukemia patients undergoing intensive remission-induction treatment: a multicenter prospective correlational study.",2025 Mar 5,"van Lieshout R, Tick LW, Beckers EAM, Biesbroek W, Custers S, Dieleman JP, Dijkstra M, Groenesteijn W, Heldens A, Hengeveld MM, Koene HR, Kranenburg S, van der Lee D, van der Put L, Rademakers N, Regelink JC, Regis M, Somer M, van Tilborg CJ, Westerweel PE, de Witte M, de Zeeuw S, Schouten HC, Beijer S",Clin Nutr ESPEN
40050774,A KD with multiple pseudocystic lesions in oropharynx and literature review.,2025 Mar 6,"Zhu Z, Tan K, Wang H, Liu Z, Yuan Y, Xu X, Liu L, Wen J, Liu Y, Ling K",BMC Pediatr
40044170,[Good's syndrome complicated with pure white cell aplasia].,2025,"Nishizaki Y, Osada Y, Kanai-Sudo H, Mizuki T, Tanosaki S, Suzuki K",Rinsho Ketsueki
40038186,Differential Disease Behavior of Immune-Mediated Colitis Among Different Types of Immune Checkpoint Inhibition.,2025 Mar 4,"Shatila M, Eshaghi F, Cruz CC, Machado AP, Mathew A, Zhao D, Siddiqui BA, Thomas AS, Chari ST, Wang Y",Target Oncol
40034596,Almonertinib-induced interstitial lung disease in an NSCLC patient co-harboring EGFR Ex19del mutation and MET de novo amplification: a case report and literature review.,2025,"Yang W, Shi L, Wang H, Li Y, Ji X, Li H, Yang G, Xu W",Front Oncol
40033227,Gallbladder and liver miliary nodules: a surprising diagnosis of disseminated tuberculosis during emergency laparoscopic cholecystectomy.,2025 Mar 3,"Li T, Zhu L, Chen B, Wang M, Shi D, Lin C, Wang W, Wang X",Int J Emerg Med
40032734,Robotic Resection of Left Intraductal Papillary Cholangiocarcinoma with Roux-en-Y Hepaticojejunostomy: Standardized Technique of Liver Resection with Biliary Reconstruction.,2025 Mar 3,"Lim A, Ross S, Sucandy I",Ann Surg Oncol
40032330,[CD19 CAR-T treatment for B-lymphoblastic lymphoma complicated with disseminated intravascular coagulation: a case report and literature review].,2024 Dec 30,"Li YY, Li PR, Jiang HW, Mei H",Zhonghua Xue Ye Xue Za Zhi
40028687,"Seroprevalence of Chikungunya and O'nyong-nyong Viruses in Senegal, West Africa.",2025 Mar,"Tonto PB, Sy M, Ndiaye IM, Toure M, Gaye A, Aidara M, Mbaye AM, Dia AK, Diallo MA, Gomis JF, Yade MS, Diedhiou Y, Dieye B, Diongue K, Seck MC, Badiane AS, Herrera BB, Ndiaye D",J Med Virol
40028571,Sister Mary Joseph's nodule: A rare metastasis of hilar cholangiocarcinoma: A new case report and review of the literature.,2025 Feb 28,"Ben Ismail I, Mlika M, Manai G, Rebii S, Karma K, Zoghlami A",Heliyon
40027026,Actinomycosis With Pulmonary and Hepatic Involvement: A Case Report and Clinical Insights.,2025 Jan,"Vilar da Mota R, Oliveira AR, Sobrosa P, Azevedo S, Cambão AR",Cureus
40026987,A Rare Non-smoking-Related Spindle Cell Carcinoma of the Lung: A Case Report.,2025 Jan,"Gomez Garcia LF, Morel S, Alvarado McDougal M",Cureus
40024835,"Factors associated with mortality among patients aged 12 years and above requiring hospitalization for severe respiratory illness (SRI): Findings from the COVID-19 vaccine effectiveness evaluation in Kenya and Mali, 2022-2023.",2025 Mar 1,"Onyando BO, Nyawanda BO, Onguru D, Haidara FC, Okello C, Anyango RO, Orege IK, Ogolla S, Ogwel B, Awuor AO, Kadivane S, Ngere P, Nasimiyu C, Osoro E, Njenga MK, Akelo V, Otedo A, Lidechi S, Ochieng JB, Otieno NA, Muok EMO, Sergon K, Worwui AK, Weldegebriel GG, Bergeri I, Sandra C, Gurry C, Nuorti JP, Amoth P, Jalang'o R, Mwenda JM, Omore R, Sow SO",Vaccine
40024178,"Small bowel T-cell lymphoma with perforation in the HIV/AIDS context, a rare case report.",2025 Feb 27,"Machibya M, Damji B, Adamjee S, Kyejo W, Njau A, Ngimba C",Int J Surg Case Rep
40021105,Hemorrhagic fevers caused by South American Mammarenaviruses: A comprehensive review of epidemiological and environmental factors related to potential emergence.,2025 Feb 26,"Ortiz-Prado E, Vasconez-Gonzalez J, Becerra-Cardona DA, Farfán-Bajaña MJ, García-Cañarte S, López-Cortés A, Izquierdo-Condoy JS",Travel Med Infect Dis
40020100,M1 enrichment facilitates virus detection in patients with allogeneic hematopoietic stemcell transplantation.,2025 Feb 28,"Zheng H, Li S, Liang ZY, Feng RL, Lu JX, Dong YJ, Chen XP",Medicine (Baltimore)
